name,TSID,throw_in_leg,turn_in_leg,dart_in_turn,ind,pbt,points_before_turn,points,segment_hit,triple,wonprevious,is_throw2,is_throw3
Michael Smith,267,3,1,3,t3pt,421,501,60,T20,1,1,0,1
Michael Smith,267,4,2,1,t1pt,361,361,20,20,0,1,0,0
Michael Smith,267,5,2,2,t2pt,341,361,19,19,0,1,1,0
Michael Smith,267,6,2,3,t3pt,322,361,18,18,0,1,0,1
Michael Smith,267,7,3,1,t1pt,304,304,20,20,0,1,0,0
Michael Smith,267,8,3,2,t2pt,284,304,20,20,0,1,1,0
Michael Smith,267,9,3,3,t3pt,264,304,20,20,0,1,0,1
Michael Smith,267,10,4,1,t1pt,244,244,15,T5,0,1,0,0
Michael Smith,267,11,4,2,t2pt,229,244,60,T20,1,1,1,0
Michael Smith,268,1,1,1,t1pt,501,501,60,T20,1,0,0,0
Michael Smith,268,2,1,2,t2pt,441,501,60,T20,1,0,1,0
Michael Smith,268,3,1,3,t3pt,381,501,60,T20,1,0,0,1
Michael Smith,268,4,2,1,t1pt,321,321,5,5,0,0,0,0
Michael Smith,268,5,2,2,t2pt,316,321,5,5,0,0,1,0
Michael Smith,268,6,2,3,t3pt,311,321,60,T20,1,0,0,1
Michael Smith,268,7,3,1,t1pt,251,251,5,5,0,0,0,0
Michael Smith,268,8,3,2,t2pt,246,251,19,19,0,0,1,0
Michael Smith,268,9,3,3,t3pt,227,251,19,19,0,0,0,1
Michael Smith,268,10,4,1,t1pt,208,208,20,20,0,0,0,0
Michael Smith,268,11,4,2,t2pt,188,208,20,20,0,0,1,0
Michael Smith,269,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,269,2,1,2,t2pt,481,501,20,20,0,1,1,0
Michael Smith,269,3,1,3,t3pt,461,501,20,20,0,1,0,1
Michael Smith,269,4,2,1,t1pt,441,441,20,20,0,1,0,0
Michael Smith,269,5,2,2,t2pt,421,441,19,19,0,1,1,0
Michael Smith,269,6,2,3,t3pt,402,441,18,18,0,1,0,1
Michael Smith,269,7,3,1,t1pt,384,384,20,20,0,1,0,0
Michael Smith,269,8,3,2,t2pt,364,384,19,19,0,1,1,0
Michael Smith,269,9,3,3,t3pt,345,384,57,T19,1,1,0,1
Michael Smith,269,10,4,1,t1pt,288,288,60,T20,1,1,0,0
Michael Smith,269,11,4,2,t2pt,228,288,20,20,0,1,1,0
Michael Smith,269,12,4,3,t3pt,208,288,60,T20,1,1,0,1
Michael Smith,270,1,1,1,t1pt,501,501,60,T20,1,0,0,0
Michael Smith,270,2,1,2,t2pt,441,501,20,20,0,0,1,0
Michael Smith,270,3,1,3,t3pt,421,501,20,20,0,0,0,1
Michael Smith,270,4,2,1,t1pt,401,401,60,T20,1,0,0,0
Michael Smith,270,5,2,2,t2pt,341,401,60,T20,1,0,1,0
Michael Smith,270,6,2,3,t3pt,281,401,20,20,0,0,0,1
Michael Smith,270,7,3,1,t1pt,261,261,20,20,0,0,0,0
Michael Smith,270,8,3,2,t2pt,241,261,20,20,0,0,1,0
Michael Smith,270,9,3,3,t3pt,221,261,17,17,0,0,0,1
Michael Smith,270,10,4,1,t1pt,204,204,20,20,0,0,0,0
Michael Smith,270,11,4,2,t2pt,184,204,60,T20,1,0,1,0
Michael Smith,271,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,271,2,1,2,t2pt,481,501,60,T20,1,0,1,0
Michael Smith,271,3,1,3,t3pt,421,501,20,20,0,0,0,1
Michael Smith,271,4,2,1,t1pt,401,401,15,T5,0,0,0,0
Michael Smith,271,5,2,2,t2pt,386,401,20,20,0,0,1,0
Michael Smith,271,6,2,3,t3pt,366,401,19,19,0,0,0,1
Michael Smith,271,7,3,1,t1pt,347,347,15,T5,0,0,0,0
Michael Smith,271,8,3,2,t2pt,332,347,20,20,0,0,1,0
Michael Smith,271,9,3,3,t3pt,312,347,60,T20,1,0,0,1
Michael Smith,271,10,4,1,t1pt,252,252,20,20,0,0,0,0
Michael Smith,271,11,4,2,t2pt,232,252,60,T20,1,0,1,0
Michael Smith,272,1,1,1,t1pt,501,501,20,20,0,1,0,0
Michael Smith,272,2,1,2,t2pt,481,501,20,20,0,1,1,0
Michael Smith,272,3,1,3,t3pt,461,501,20,20,0,1,0,1
Michael Smith,272,4,2,1,t1pt,441,441,60,T20,1,1,0,0
Michael Smith,272,5,2,2,t2pt,381,441,20,20,0,1,1,0
Michael Smith,272,6,2,3,t3pt,361,441,20,20,0,1,0,1
Michael Smith,272,7,3,1,t1pt,341,341,20,20,0,1,0,0
Michael Smith,272,8,3,2,t2pt,321,341,60,T20,1,1,1,0
Michael Smith,272,9,3,3,t3pt,261,341,60,T20,1,1,0,1
Michael Smith,272,10,4,1,t1pt,201,201,20,20,0,1,0,0
Michael Smith,272,11,4,2,t2pt,181,201,20,20,0,1,1,0
Michael Smith,273,1,1,1,t1pt,501,501,1,1,0,0,0,0
Michael Smith,273,2,1,2,t2pt,500,501,20,20,0,0,1,0
Michael Smith,273,3,1,3,t3pt,480,501,19,19,0,0,0,1
Michael Smith,273,4,2,1,t1pt,461,461,20,20,0,0,0,0
Michael Smith,273,5,2,2,t2pt,441,461,20,20,0,0,1,0
Michael Smith,273,6,2,3,t3pt,421,461,60,T20,1,0,0,1
Michael Smith,273,7,3,1,t1pt,361,361,20,20,0,0,0,0
Michael Smith,273,8,3,2,t2pt,341,361,19,19,0,0,1,0
Michael Smith,273,9,3,3,t3pt,322,361,18,18,0,0,0,1
Michael Smith,273,10,4,1,t1pt,304,304,20,20,0,0,0,0
Michael Smith,273,11,4,2,t2pt,284,304,20,20,0,0,1,0
Michael Smith,273,12,4,3,t3pt,264,304,18,18,0,0,0,1
Michael Smith,273,13,5,1,t1pt,246,246,20,20,0,0,0,0
Michael Smith,273,14,5,2,t2pt,226,246,20,20,0,0,1,0
Michael Smith,273,15,5,3,t3pt,206,246,60,T20,1,0,0,1
Michael Smith,274,1,1,1,t1pt,501,501,20,20,0,0,0,0
Michael Smith,274,2,1,2,t2pt,481,501,19,19,0,0,1,0
Michael Smith,274,3,1,3,t3pt,462,501,18,18,0,0,0,1
Michael Smith,274,4,2,1,t1pt,444,444,5,5,0,0,0,0
Michael Smith,274,5,2,2,t2pt,439,444,19,19,0,0,1,0
Michael Smith,274,6,2,3,t3pt,420,444,18,18,0,0,0,1
Michael Smith,274,7,3,1,t1pt,402,402,20,20,0,0,0,0
Michael Smith,274,8,3,2,t2pt,382,402,20,20,0,0,1,0
Michael Smith,274,9,3,3,t3pt,362,402,54,T18,1,0,0,1
Michael Smith,274,10,4,1,t1pt,308,308,5,5,0,0,0,0
Michael Smith,274,11,4,2,t2pt,303,308,20,20,0,0,1,0
Michael Smith,274,12,4,3,t3pt,283,308,19,19,0,0,0,1
Michael Smith,274,13,5,1,t1pt,264,264,60,T20,1,0,0,0
Michael Smith,274,14,5,2,t2pt,204,264,20,20,0,0,1,0
Michael Smith,274,15,5,3,t3pt,184,264,60,T20,1,0,0,1
Michael Smith,275,1,1,1,t1pt,501,501,60,T20,1,1,0,0
Michael Smith,275,2,1,2,t2pt,441,501,60,T20,1,1,1,0
Michael Smith,275,3,1,3,t3pt,381,501,20,20,0,1,0,1
Michael Smith,275,4,2,1,t1pt,361,361,20,20,0,1,0,0
Michael Smith,275,5,2,2,t2pt,341,361,60,T20,1,1,1,0
Michael Smith,275,6,2,3,t3pt,281,361,60,T20,1,1,0,1
Michael Smith,275,7,3,1,t1pt,221,221,20,20,0,1,0,0
Michael Smith,275,8,3,2,t2pt,201,221,19,19,0,1,1,0
Michael Smith,275,9,3,3,t3pt,182,221,54,T18,1,1,0,1
Michael Smith,276,1,1,1,t1pt,501,501,60,T20,1,1,0,0
Michael Smith,276,2,1,2,t2pt,441,501,20,20,0,1,1,0
